Date,Timestamp,Latitude,Longitude,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,Final.out
Sat Jun 09 18:26:56 PDT 2018,1528594016.609,29.8988138,-131.7561367,160.556663491415,727.021225149354,857.494212741051,844.201188009951,60.2622882354843,19.6026288003024,161.788194929311,224.812151849494,130.631415687463,127.701008182591,119.211830028553,534.754114931643,221.476890262705,157.63222210404,47.7149960229947,308.643098054859,144.131818895752
Sat Jun 09 18:26:57 PDT 2018,1528594017.611,29.8987738,-131.7560468,157.929761617237,725.165120816715,855.353138076317,821.43838724796,60.0810108252424,19.5366044212622,161.338405719011,199.155275915263,120.713522439012,111.783683572669,118.824517651469,533.317742506306,220.820065924226,157.18285384566,37.384436552866,307.861556656869,138.948188142336
Sat Jun 09 18:26:58 PDT 2018,1528594018.612,29.8987636,-131.7559646,159.603270628285,723.309016484075,859.642334555307,819.220780208932,59.8997334150005,6.19967985513889,144.12896476696,223.311586671254,120.379990018405,111.380937670485,118.446888929704,508.236290939864,220.163241585747,156.73348558728,47.3187900127982,307.080015258878,132.254477392682
Sat Jun 09 18:26:59 PDT 2018,1528594019.609,29.8987788,-131.7558973,159.120383589248,726.648799621855,857.508773082172,825.209617665549,59.7184560047586,6.15016157085873,160.458383484809,197.654710737022,120.046457597798,118.736097568492,118.05957655262,530.472620411639,219.506417247268,156.2841173289,52.1719459165711,306.261257324069,138.165287463349
Sat Jun 09 18:27:00 PDT 2018,1528594020.612,29.8988158,-131.7558479,162.946706745455,729.990235693047,868.236772376874,827.086408796587,59.5371785945166,19.3550373789017,160.008594274509,221.811021493014,129.275048502999,118.333351670978,117.672264175536,529.063870742308,218.849592908789,155.834749070521,51.9505369766407,305.479715926079,142.55489878676
Sat Jun 09 18:27:02 PDT 2018,1528594022.635,29.8989434,-131.7558266,162.458866591251,728.128144363332,866.125748094554,828.958461042595,59.3559011842747,6.0181128127783,159.55880506421,221.046027389809,128.930397334339,117.930605773464,117.284951798452,527.627498316971,218.19276857031,155.435310615669,56.804501230806,304.660957991269,142.182853975004
Sat Jun 09 18:27:03 PDT 2018,1528594023.607,29.8990161,-131.7558473,166.284504929485,736.659479956264,870.422456575155,830.829208916417,59.1746237740328,19.2394947155813,159.10901585391,220.281033286604,128.585746165679,125.275778078335,116.897639421369,549.863827788746,217.565800097817,154.985942357289,61.6518309950263,303.84220005646,141.785844261484
Sat Jun 09 18:27:04 PDT 2018,1528594024.612,29.899096,-131.7558995,163.639583907222,734.791402581076,874.68262354011,824.494818172984,58.9933463637909,19.1734703365411,158.678782840437,194.624157352373,118.667852917227,109.367209574431,108.07720366382,524.782376222304,191.203075145378,154.536574098909,46.240876915191,303.02344212165,136.602213508068
Sat Jun 09 18:27:05 PDT 2018,1528594025.603,29.8991729,-131.7559675,169.613084424471,738.114876709439,872.526523686173,830.478916747103,58.812068953549,19.1074459575009,158.248549826964,218.809891136533,127.896443822429,116.722369472438,116.132696783596,547.018705694079,216.311863152831,154.087205840529,56.1635798766146,302.204684186841,140.991824831479
Sat Jun 09 18:27:06 PDT 2018,1528594026.606,29.8992492,-131.7560368,151.884819646875,710.25641808805,838.299666716486,799.522582268684,58.6307915433071,5.77052139137751,157.818316813491,193.182438230471,117.98966932796,108.570473880752,107.312261026048,521.937254127637,215.684894680338,153.637837582149,45.8213645040376,301.423142788851,134.937244487417
